Station,Init,QC1,QC2,QC3,QC4,QC5,QC6,QCTot,Pct_Flagged_QC1,Pct_Flagged_QC2,Pct_Flagged_QC3,Pct_Flagged_QC4,Pct_Flagged_QC5,Pct_Flagged_QC6,Pct_Flagged_Total
ANC,167949,297,692,822,3,9,50,1858,0.18,0.41,0.49,0,0.01,0.03,1.11
ANH,243579,1718,1689,1280,75,57,69,4817,0.71,0.69,0.53,0.03,0.02,0.03,1.98
BAC,128306,437,644,700,0,1,5,1785,0.34,0.5,0.55,0,0,0,1.39
BDL,124362,23,378,373,159,53,66,999,0.02,0.3,0.3,0.13,0.04,0.05,0.8
BDT,154924,282,180,220,18,7,8,708,0.18,0.12,0.14,0.01,0,0.01,0.46
BET,145580,1708,1117,541,6,15,14,3375,1.17,0.77,0.37,0,0.01,0.01,2.32
BIR,42123,0,102,153,0,1,0,255,0,0.24,0.36,0,0,0,0.61
BKS,108333,0,1072,181,55,4,24,1327,0,0.99,0.17,0.05,0,0.02,1.22
BLL,126473,1078,678,21,24,8,15,1809,0.85,0.54,0.02,0.02,0.01,0.01,1.43
BLP,107447,1779,496,518,1469,5,10,4230,1.66,0.46,0.48,1.37,0,0.01,3.94
CCS,136527,1815,969,435,138,107,152,3547,1.33,0.71,0.32,0.1,0.08,0.11,2.6
CLC,115747,0,379,19,2,6,9,408,0,0.33,0.02,0,0.01,0.01,0.35
CLL,206053,1160,697,116,255,20,47,2236,0.56,0.34,0.06,0.12,0.01,0.02,1.09
CNT,205631,503,818,1688,34,12,45,3087,0.24,0.4,0.82,0.02,0.01,0.02,1.5
CPP,180144,40,2260,1895,158,21,66,4380,0.02,1.25,1.05,0.09,0.01,0.04,2.43
CSE,118930,125,495,39,17,4,5,680,0.11,0.42,0.03,0.01,0,0,0.57
CYG,110890,295,420,0,54,2,3,772,0.27,0.38,0,0.05,0,0,0.7
DAR,60341,79,139,0,1,54,3,272,0.13,0.23,0,0,0.09,0,0.45
DGL,145284,1700,473,143,66,19,9,2384,1.17,0.33,0.1,0.05,0.01,0.01,1.64
DLC,113192,69,716,1562,3,8,26,2375,0.06,0.63,1.38,0,0.01,0.02,2.1
DMC,204834,869,830,110,887,41,40,2693,0.42,0.41,0.05,0.43,0.02,0.02,1.31
DSJ,113524,193,771,700,1,5,21,1685,0.17,0.68,0.62,0,0,0.02,1.48
DV7,172427,1,1345,0,49,61,53,1458,0,0.78,0,0.03,0.04,0.03,0.85
DWS,89166,119,584,1563,0,1,20,2237,0.13,0.65,1.75,0,0,0.02,2.51
DYR,68372,0,381,729,2,6,16,1123,0,0.56,1.07,0,0.01,0.02,1.64
ECD,80797,1027,1098,0,725,121,18,2807,1.27,1.36,0,0.9,0.15,0.02,3.47
EMM,206860,1011,928,1114,225,5,42,3269,0.49,0.45,0.54,0.11,0,0.02,1.58
FAL,137736,470,1221,1490,1,3,21,3175,0.34,0.89,1.08,0,0,0.02,2.31
FCT,68238,38,537,1022,0,2,7,1603,0.06,0.79,1.5,0,0,0.01,2.35
FLT,107017,503,412,42,5,9,1,971,0.47,0.38,0.04,0,0.01,0,0.91
FPT,89436,17,476,2575,1159,6,30,4222,0.02,0.53,2.88,1.3,0.01,0.03,4.72
FRK,66198,23,317,0,0,2,3,343,0.03,0.48,0,0,0,0,0.52
FRP,206382,39,742,1687,38,2,15,2495,0.02,0.36,0.82,0.02,0,0.01,1.21
GCT,126970,17707,739,103,0,2,6,18551,13.95,0.58,0.08,0,0,0,14.61
GES,113707,137,851,1524,0,2,15,2528,0.12,0.75,1.34,0,0,0.01,2.22
GLC,134058,76,1037,1854,3,4,13,2929,0.06,0.77,1.38,0,0,0.01,2.18
GLE,77600,5484,1340,185,1289,30,32,8106,7.07,1.73,0.24,1.66,0.04,0.04,10.45
GLN,43255,157,281,952,5,11,10,1380,0.36,0.65,2.2,0.01,0.03,0.02,3.19
GOD,103031,5466,434,19,19,9,7,5950,5.31,0.42,0.02,0.02,0.01,0.01,5.77
GSS,113967,112,574,1640,0,3,8,2334,0.1,0.5,1.44,0,0,0.01,2.05
GYS,223551,5015,3614,21,655,79,44,9318,2.24,1.62,0.01,0.29,0.04,0.02,4.17
GZB,23949,1482,153,56,158,4,3,1835,6.19,0.64,0.23,0.66,0.02,0.01,7.66
GZL,64569,2,327,0,11,2,2,343,0,0.51,0,0.02,0,0,0.53
HBP,183899,0,2598,485,283,64,110,3408,0,1.41,0.26,0.15,0.03,0.06,1.85
HLL,207133,339,512,1640,0,3,16,2506,0.16,0.25,0.79,0,0,0.01,1.21
HLT,142163,136,1117,2881,53,13,29,4127,0.1,0.79,2.03,0.04,0.01,0.02,2.9
HOL,142537,492,1049,1482,1,6,18,3029,0.35,0.74,1.04,0,0,0.01,2.13
HON,63078,273,452,19,23,17,4,778,0.43,0.72,0.03,0.04,0.03,0.01,1.23
HUN,110519,0,359,38,0,1,5,401,0,0.32,0.03,0,0,0,0.36
HWB,92225,1,981,1571,3,5,19,2509,0,1.06,1.7,0,0.01,0.02,2.72
IBS,161687,1703,1561,525,65,98,75,3909,1.05,0.97,0.32,0.04,0.06,0.05,2.42
JER,207744,92,474,1371,100,56,42,2047,0.04,0.23,0.66,0.05,0.03,0.02,0.99
LIB,94435,6,1727,425,829,22,57,3013,0.01,1.83,0.45,0.88,0.02,0.06,3.19
LIS,116472,1483,976,1413,44,8,11,3871,1.27,0.84,1.21,0.04,0.01,0.01,3.32
LPS,114130,12,434,753,14,5,23,1237,0.01,0.38,0.66,0.01,0,0.02,1.08
MAB,77864,2675,745,0,919,2,2,4330,3.44,0.96,0,1.18,0,0,5.56
MAL,303592,7098,6346,1104,1727,127,175,16187,2.34,2.09,0.36,0.57,0.04,0.06,5.33
MDM,113655,16,471,2227,14,16,40,2760,0.01,0.41,1.96,0.01,0.01,0.04,2.43
MHO,102869,1009,744,538,469,13,8,2729,0.98,0.72,0.52,0.46,0.01,0.01,2.65
MHR,37369,3,77,25,0,2,0,105,0.01,0.21,0.07,0,0.01,0,0.28
MIR,65335,3045,527,328,0,3,10,3896,4.66,0.81,0.5,0,0,0.02,5.96
MKN,61620,0,589,45,0,1,5,639,0,0.96,0.07,0,0,0.01,1.04
MOK,124046,5,979,1368,1008,7,17,3355,0,0.79,1.1,0.81,0.01,0.01,2.7
MRU,83824,2898,1546,38,4,20,22,4501,3.46,1.84,0.05,0,0.02,0.03,5.37
MRX,57233,188,1202,789,0,2,2,2182,0.33,2.1,1.38,0,0,0,3.81
MRZ,242999,2706,4220,526,495,50,73,7995,1.11,1.74,0.22,0.2,0.02,0.03,3.29
MSD,180589,633,781,382,260,118,138,2148,0.35,0.43,0.21,0.14,0.07,0.08,1.19
MSL,118851,402,432,203,94,5,9,1135,0.34,0.36,0.17,0.08,0,0.01,0.95
MTB,197521,1290,2146,6884,287,14,71,10512,0.65,1.09,3.49,0.15,0.01,0.04,5.32
MUP,110434,294,685,37492,7606,2,5,45715,0.27,0.62,33.95,6.89,0,0,41.4
NMR,52833,2,236,322,3,9,9,574,0,0.45,0.61,0.01,0.02,0.02,1.09
NSL,152640,430,860,130,542,87,30,1928,0.28,0.56,0.09,0.36,0.06,0.02,1.26
OAD,94803,754,927,0,750,14,14,2430,0.8,0.98,0,0.79,0.01,0.01,2.56
OBD,36893,90,127,0,0,2,4,221,0.24,0.34,0,0,0.01,0.01,0.6
OBI,128564,329,715,3301,1,4,13,4325,0.26,0.56,2.57,0,0,0.01,3.36
ODM,112891,8,919,2336,9,11,31,3252,0.01,0.81,2.07,0.01,0.01,0.03,2.88
OH1,187310,55928,2181,611,1363,38,46,59856,29.86,1.16,0.33,0.73,0.02,0.02,31.96
OH4,113816,2,618,1871,1,3,24,2515,0,0.54,1.64,0,0,0.02,2.21
OLD,154937,89,392,155,32,13,12,653,0.06,0.25,0.1,0.02,0.01,0.01,0.42
ORI,101951,930,940,222,0,1,6,2025,0.91,0.92,0.22,0,0,0.01,1.99
ORM,68533,1345,616,474,11,3,2,2448,1.96,0.9,0.69,0.02,0,0,3.57
ORQ,141419,143,1490,2497,347,4,20,4470,0.1,1.05,1.77,0.25,0,0.01,3.16
ORX,79886,541,905,219,0,3,6,1668,0.68,1.13,0.27,0,0,0.01,2.09
OSJ,138138,288,1524,1314,1158,5,29,4283,0.21,1.1,0.95,0.84,0,0.02,3.1
PCO,86396,0,153,0,0,2,6,159,0,0.18,0,0,0,0.01,0.18
PCT,186203,4298,3869,183,235,25,57,8607,2.31,2.08,0.1,0.13,0.01,0.03,4.62
PDC,71354,2873,981,0,1,3,5,3857,4.03,1.37,0,0,0,0.01,5.41
PPT,182360,6855,1153,1335,1286,31,34,10607,3.76,0.63,0.73,0.71,0.02,0.02,5.82
PRI,117525,261,1229,1932,698,6,35,4115,0.22,1.05,1.64,0.59,0.01,0.03,3.5
PTS,200490,1165,812,751,1038,120,257,4045,0.58,0.41,0.37,0.52,0.06,0.13,2.02
RCS,96277,1036,1106,425,2038,392,6,4585,1.08,1.15,0.44,2.12,0.41,0.01,4.76
RIP,97860,454,198,151,0,5,8,810,0.46,0.2,0.15,0,0.01,0.01,0.83
RIV,207109,874,1671,2189,7,5,45,4783,0.42,0.81,1.06,0,0,0.02,2.31
