ZCTA5,lon,lat
89010,-117.91473,37.487642
89019,-115.6452,35.756243
89060,-116.14446,36.185628
89061,-115.91179,35.965713
89439,-120.01777,39.536953
90001,-118.24927,33.972694
90002,-118.24725,33.949714
90003,-118.27356,33.964772
90004,-118.30284,34.076129
90005,-118.3019,34.058587
90006,-118.29297,34.049092
90007,-118.28856,34.029542
90008,-118.34115,34.011647
90010,-118.30611,34.062115
90011,-118.25882,34.007239
90012,-118.23957,34.060194
90013,-118.2458,34.045729
90014,-118.25061,34.043567
90015,-118.27023,34.043009
90016,-118.35329,34.030059
90017,-118.26659,34.054705
90018,-118.31631,34.028892
90019,-118.33582,34.047932
90020,-118.30228,34.066425
90021,-118.24249,34.035924
90022,-118.15538,34.023649
90023,-118.19847,34.024736
90024,-118.44297,34.064634
90025,-118.44869,34.045054
90026,-118.26517,34.075721
90027,-118.29277,34.104445
90028,-118.32651,34.100798
90029,-118.29519,34.089935
90031,-118.21227,34.078083
90032,-118.17621,34.081551
90033,-118.20866,34.048558
90034,-118.40185,34.028662
90035,-118.38315,34.053335
90036,-118.35013,34.069372
90037,-118.28709,34.002665
90038,-118.32254,34.089821
90039,-118.26016,34.110603
90040,-118.15524,33.997178
90041,-118.20961,34.134109
90042,-118.19311,34.114366
90043,-118.33268,33.9872
90044,-118.2913,33.956134
90045,-118.39667,33.964248
90046,-118.35869,34.098096
90047,-118.30818,33.958877
90048,-118.37371,34.073443
90049,-118.47512,34.06433
90056,-118.37162,33.985897
90057,-118.27686,34.062036
90058,-118.23974,33.997218
90059,-118.24691,33.929512
90061,-118.27303,33.925202
90062,-118.3085,34.004076
90063,-118.18688,34.043277
90064,-118.42711,34.035299
90065,-118.22759,34.108151
90066,-118.43015,34.002664
90067,-118.4102,34.055447
90068,-118.33194,34.117177
90069,-118.37956,34.090432
90071,-118.25452,34.052161
90073,-118.46106,34.056561
90077,-118.45564,34.107508
90089,-118.28413,34.022223
90094,-118.42664,33.972949
90095,-118.44232,34.076529
90201,-118.17318,33.969196
90210,-118.40837,34.091058
90211,-118.38347,34.065574
90212,-118.39994,34.062032
90220,-118.23881,33.890517
90221,-118.20401,33.897348
90222,-118.23524,33.911859
90230,-118.39913,33.995483
90232,-118.39726,34.017726
90240,-118.11881,33.957446
90241,-118.13226,33.941014
90242,-118.13996,33.921448
90245,-118.4125,33.924515
90247,-118.29701,33.892653
90248,-118.29102,33.874595
90249,-118.32053,33.899554
90250,-118.34756,33.91352
90254,-118.39618,33.864451
90255,-118.21703,33.976501
90260,-118.35239,33.887992
90262,-118.20201,33.923961
90263,-118.71025,34.041956
90265,-118.75792,34.039587
90266,-118.40017,33.889768
90270,-118.18841,33.98889
90272,-118.53632,34.051679
90274,-118.37748,33.780864
90275,-118.36511,33.762779
90277,-118.38364,33.830772
90278,-118.37242,33.870697
90280,-118.20156,33.946226
90290,-118.60297,34.105271
90291,-118.46452,33.99345
90292,-118.4509,33.979366
